"","Plant","ExpLoc","ID","Site","Couple","Sex","Cohort","NumButterflies","EnclCol","EnclID","FlowerHeads","EmergDate","DateWeighed","TrialDay","Weight","OrigWeight","Feeding","Notes","ForewingLength","ForewingDamage","SurfaceArea","TotalSA"
"118","HelHel","GH","VH12","VH",NA,"F","B",1,"Black",NA,30,241,248,7,0.3186,0.5895,"N","",48,"N",62.0204058693124,1860.61217607937
"119","HelHel","GH","VH12","VH",NA,"F","B",1,"Black",NA,30,241,241,0,0.5895,0.5895,"N","",48,"N",62.0204058693124,1860.61217607937
"120","HelHel","GH","VH5","VH",NA,"F","B",1,"White",NA,31,243,248,5,0.3952,0.6431,"N","",51,"N",62.0204058693124,1922.63258194868
"121","HelHel","GH","PCD52",NA,"PCD","F","A",1,"Black",NA,17,234,239,5,0.2538,0.4322,"Y","Feeding day 2",43,"N",62.0204058693124,1054.34689977831
"122","HelHel","GH","MVD49",NA,"MVD","M","B",1,"Black",NA,41,241,246,5,0.3126,0.4925,"N","Found dying d7, forewing tattered significantly (major portion broken)",40,"N",62.0204058693124,2542.83664064181
"123","HelHel","GH","MVD49",NA,"MVD","M","B",1,"Black",NA,41,241,248,7,0.2615,0.4925,"N","Found dying d7, forewing tattered significantly (major portion broken)",40,"N",62.0204058693124,2542.83664064181
"124","HelHel","GH","VH5","VH",NA,"F","B",1,"White",NA,31,243,244,1,0.5376,0.6431,"N","",51,"N",62.0204058693124,1922.63258194868
"125","HelHel","GH","MVD49",NA,"MVD","M","B",1,"Black",NA,41,241,242,1,0.4215,0.4925,"N","Found dying d7, forewing tattered significantly (major portion broken)",40,"N",62.0204058693124,2542.83664064181
"126","HelHel","GH","VH16","VH",NA,"F","B",1,"Black",NA,20,242,242,0,0.5292,0.5292,"N","D5 Fed when placed on flowers, no natural feeding observed",48,"N",62.0204058693124,1240.40811738625
"127","HelHel","GH","PCD52",NA,"PCD","F","A",1,"Black",NA,17,234,234,0,0.4322,0.4322,"Y","Feeding day 2",43,"N",62.0204058693124,1054.34689977831
"128","HelHel","GH","VH16","VH",NA,"F","B",1,"Black",NA,20,242,243,1,0.4607,0.5292,"N","D5 Fed when placed on flowers, no natural feeding observed",48,"N",62.0204058693124,1240.40811738625
"129","HelHel","GH","VH23","VH",NA,"M","A",1,"Black",NA,20,234,241,7,0.3129,0.6247,"N","BUTTERFLY DEAD ON D7, weight is of dead butterfly, looked freshly dead ish",50,"N",62.0204058693124,1240.40811738625
"130","HelHel","GH","VH16","VH",NA,"F","B",1,"Black",NA,20,242,247,5,0.3149,0.5292,"N","D5 Fed when placed on flowers, no natural feeding observed",48,"N",62.0204058693124,1240.40811738625
"131","HelHel","GH","TWA21",NA,"TWA","F","A",1,"Black",NA,12,235,240,5,0.3008,0.4702,"Y","Feeding days 6+7",46,"N",62.0204058693124,744.244870431749
"132","HelHel","GH","TWA21",NA,"TWA","F","A",1,"Black",NA,12,235,242,7,0.297,0.4702,"Y","Feeding days 6+7",46,"N",62.0204058693124,744.244870431749
"133","HelHel","GH","MVD49",NA,"MVD","M","B",1,"Black",NA,41,241,241,0,0.4925,0.4925,"N","Found dying d7, forewing tattered significantly (major portion broken)",40,"N",62.0204058693124,2542.83664064181
"134","HelHel","GH","VH12","VH",NA,"F","B",1,"Black",NA,30,241,242,1,0.4892,0.5895,"N","",48,"N",62.0204058693124,1860.61217607937
"135","HelHel","GH","PCD52",NA,"PCD","F","A",1,"Black",NA,17,234,241,7,0.2998,0.4322,"Y","Feeding day 2",43,"N",62.0204058693124,1054.34689977831
"136","HelHel","GH","VH23","VH",NA,"M","A",1,"Black",NA,20,234,239,5,0.3588,0.6247,"N","BUTTERFLY DEAD ON D7, weight is of dead butterfly, looked freshly dead ish",50,"N",62.0204058693124,1240.40811738625
"137","HelHel","GH","VH12","VH",NA,"F","B",1,"Black",NA,30,241,246,5,0.3855,0.5895,"N","",48,"N",62.0204058693124,1860.61217607937
"138","HelHel","GH","VH23","VH",NA,"M","A",1,"Black",NA,20,234,234,0,0.6247,0.6247,"N","BUTTERFLY DEAD ON D7, weight is of dead butterfly, looked freshly dead ish",50,"N",62.0204058693124,1240.40811738625
"139","HelHel","GH","VH16","VH",NA,"F","B",1,"Black",NA,20,242,249,7,0.3236,0.5292,"N","D5 Fed when placed on flowers, no natural feeding observed",48,"N",62.0204058693124,1240.40811738625
"140","RudHir","GH","MVD29",NA,"MVD","F","A",1,"White",NA,19,235,240,5,0.2735,0.4621,"Y","",44,"Y",57.5276403953524,1093.0251675117
"141","RudHir","GH","TWA64",NA,"TWA","M","A",1,"Black",NA,21,234,239,5,0.4846,0.754,"","",53,"N",57.5276403953524,1208.0804483024
"142","RudHir","GH","MVD29",NA,"MVD","F","A",1,"White",NA,19,235,235,0,0.4621,0.4621,"Y","",44,"Y",57.5276403953524,1093.0251675117
"143","RudHir","GH","PCD82",NA,"PCD","F","A",1,"Black",NA,18,234,241,7,0.2526,0.4767,"N","",47,"N",57.5276403953524,1035.49752711634
"144","RudHir","GH","PCD77",NA,"PCD","F","A",1,"Black",NA,8,235,240,5,0.2972,0.4791,"Y","",47,"N",57.5276403953524,460.221123162819
"145","RudHir","GH","PCD82",NA,"PCD","F","A",1,"Black",NA,18,234,239,5,0.2866,0.4767,"N","",47,"N",57.5276403953524,1035.49752711634
"146","RudHir","GH","VH30","VH",NA,"M","A",1,"Black",NA,13,231,239,8,0.4655,0.6251,"","",55,"N",57.5276403953524,747.859325139581
"147","RudHir","GH","TWA64",NA,"TWA","M","A",1,"Black",NA,21,234,234,0,0.754,0.754,"","",53,"N",57.5276403953524,1208.0804483024
"148","RudHir","GH","TWA74",NA,"TWA","M","B",1,"Black",NA,13,240,240,0,0.5199,0.5199,"N","",47,"N",57.5276403953524,747.859325139581
"149","RudHir","GH","TWA74",NA,"TWA","M","B",1,"Black",NA,13,240,247,7,NA,0.5199,"N","",47,"N",57.5276403953524,747.859325139581
"150","RudHir","GH","TWA64",NA,"TWA","M","A",1,"Black",NA,21,234,241,7,0.4787,0.754,"","",53,"N",57.5276403953524,1208.0804483024
"151","RudHir","GH","TWA74",NA,"TWA","M","B",1,"Black",NA,13,240,241,1,0.409,0.5199,"N","",47,"N",57.5276403953524,747.859325139581
