"","ID","RawWeight_day0","RawWeight_day1","RawWeight_day5","RawWeight_day7","RawWeight_day10","Couple","Cohort","Plant","ExpLoc","FlowerHeads","NumButterflies","EnclCol","Sex","EmergDate","ForewingLength","ForewingDamage","RawWeightGain_day0","RawWeightGain_day1","RawWeightGain_day5","RawWeightGain_day7","RawWeightGain_day10","RelWeightGain_day0","RelWeightGain_day1","RelWeightGain_day5","RelWeightGain_day7","RelWeightGain_day10","TotalSA"
"48","TWA28",0.6449,NA,0.4357,0.4396,NA,"TWA","A","SolAlt","GH",12,1,"White","M",235,48,"N",0,NA,-0.2092,-0.2053,NA,0,NA,-0.324391378508296,-0.318343929291363,NA,4771152.96184394
"49","TWA31",0.4694,0.4276,0.3586,0.3825,NA,"TWA","AF","SolAlt","Field",50,2,"FBlack","F",239,47,"N",0,-0.0418,-0.1108,-0.0869,NA,0,-0.0890498508734555,-0.236046016190882,-0.185129953131657,NA,3435230.13252764
"50","TWA38",0.5391,NA,0.3796,0.352,NA,"TWA","A","SolAlt","GH",26,1,"Black","M",235,48,"N",0,NA,-0.1595,-0.1871,NA,0,NA,-0.295863476163977,-0.347059914672603,NA,8206383.09437157
"51","TWA44",0.4913,NA,0.327,0.3383,NA,"TWA","A","SymEri","GH",249,1,"Black","M",235,44,"N",0,NA,-0.1643,-0.153,NA,0,NA,-0.334418888662732,-0.311418685121107,NA,2767268.71786948
"52","TWA46",0.7234,NA,0.4146,0.4203,NA,"TWA","A","BudDav","GH",20,1,"Black","M",234,50,"N",0,NA,-0.3088,-0.3031,NA,0,NA,-0.426873099253525,-0.418993641139066,NA,1308751.81099296
"53","TWA60",0.5399,NA,0.3649,0.4273,NA,"TWA","A","SolAlt","GH",34,1,"Black","F",233,48,"N",0,NA,-0.175,-0.1126,NA,0,NA,-0.324134098907205,-0.20855714021115,NA,545313.254580401
"54","TWA64",0.754,NA,0.4846,0.4787,NA,"TWA","A","RudHir","GH",21,1,"Black","M",234,53,"N",0,NA,-0.2694,-0.2753,NA,0,NA,-0.357294429708223,-0.365119363395225,NA,654375.905496482
"55","TWA65",0.678,NA,0.3712,0.3375,NA,"TWA","A","SymEri","GH",282,1,"Black","F",234,48,"N",0,NA,-0.3068,-0.3405,NA,0,NA,-0.452507374631268,-0.502212389380531,NA,4035318.08389497
"56","TWA66",0.4631,0.3961,0.3214,0.3451,NA,"TWA","AF","SolAlt","Field",27,1,"FBlack","F",237,46,"N",0,-0.067,-0.1417,-0.118,NA,0,-0.144677175556035,-0.305981429496869,-0.254804577844958,NA,1308751.81099296
"58","TWA81",0.6441,0.5445,0.5257,0.5053,NA,"TWA","AF","SolAlt","Field",116,2,"FBlack","F",238,46,"N",0,-0.0996,-0.1184,-0.1388,NA,0,-0.154634373544481,-0.183822387827977,-0.215494488433473,NA,3708130.13114673
"59","TWA83",0.5807,0.5258,0.5086,0.4934,NA,"TWA","A","EchPur","GH",13,1,"Black","M",238,51,"N",0,-0.0548999999999999,-0.0720999999999999,-0.0873,NA,0,-0.0945410711210607,-0.12416049595316,-0.150335801618736,NA,654375.905496482
"61","VH1",0.5273,0.4504,0.4048,0.3865,NA,NA,"AF","EutMac","Field",12,2,"FBlack","F",238,48,"N",0,-0.0769,-0.1225,-0.1408,NA,0,-0.145837284278399,-0.232315569884316,-0.267020671344586,NA,763438.556412562
"62","VH10",0.5959,0.5521,0.4832,0.4625,0.3888,NA,"BF","EutMac","Field",14,2,"FBlack","F",244,51,"N",0,-0.0438,-0.1127,-0.1334,-0.2071,0,-0.0735022654807853,-0.18912569223024,-0.223863064272529,-0.347541533814398,654375.905496482
"63","VH11",0.6462,0.5466,0.4484,0.382,0.5032,NA,"B","SolAlt","GH",5,1,"Black","M",244,46,"Y",0,-0.0996,-0.1978,-0.2642,-0.143,0,-0.154131847725163,-0.306097183534509,-0.408851748684618,-0.221293717115444,545313.254580401
"64","VH12",0.5895,0.4892,0.3855,0.3186,NA,NA,"B","HelHel","GH",30,1,"Black","F",241,48,"N",0,-0.1003,-0.204,-0.2709,NA,0,-0.170144189991518,-0.346055979643766,-0.459541984732824,NA,1090626.5091608
"65","VH13",0.6416,0.5293,0.4352,0.4766,NA,NA,"A","EchPur","GH",16,1,"White","F",240,51,"N",0,-0.1123,-0.2064,-0.165,NA,0,-0.175031172069825,-0.321695760598504,-0.25716957605985,NA,2835628.92381809
